date,article.links,facebook.shares,
May-15,http://www.aftonbladet.se/nyheter/article20770298.ab,829,
May-15,http://www.aftonbladet.se/ledare/fredagmed/ingvarpersson/article20769675.ab,162,
May-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article20763064.ab,1573,
May-15,http://www.aftonbladet.se/ledare/ledarkronika/karinpettersson/article20776074.ab,2560,
May-15,http://www.aftonbladet.se/ledare/ledarkronika/danielswedin/article20775744.ab,749,
May-15,http://www.aftonbladet.se/nyheter/kolumnister/oisincantwell/article20786989.ab,279,
May-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article20781152.ab,3893,
May-15,http://www.aftonbladet.se/nyheter/article20802624.ab,32,
May-15,http://www.aftonbladet.se/nyheter/article20802681.ab,4303,
May-15,http://www.aftonbladet.se/ledare/ledarkronika/katrinemarcal/article20802928.ab,3098,
May-15,http://www.aftonbladet.se/nyheter/article20810483.ab,83,
May-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article20807350.ab,68,
May-15,http://bloggar.aftonbladet.se/ledarbloggen/2015/05/kan-det-vara-nagot-pa-gang/,0,
May-15,http://www.aftonbladet.se/ledare/ledarkronika/danielswedin/article20830372.ab,604,
May-15,http://www.aftonbladet.se/nyheter/article20828793.ab,63,
May-15,http://www.aftonbladet.se/nyheter/article20826431.ab,3469,
May-15,http://www.aftonbladet.se/nyheter/article20832780.ab,776,
May-15,http://www.aftonbladet.se/nyheter/article20839900.ab,238,
May-15,http://www.aftonbladet.se/kultur/article20849638.ab,112,
May-15,http://www.aftonbladet.se/nojesbladet/kronikorer/fredrikvirtanen/article20849628.ab,147,
May-15,http://www.aftonbladet.se/nyheter/kolumnister/oisincantwell/article20860023.ab,8489,
May-15,http://www.aftonbladet.se/ledare/ledarkronika/ingvarpersson/article20859454.ab,997,
May-15,http://www.aftonbladet.se/nyheter/article20858827.ab,600,
May-15,http://www.aftonbladet.se/nyheter/article20856575.ab,283,
May-15,http://www.aftonbladet.se/debatt/debattamnen/politik/article20869135.ab,514,
May-15,http://www.aftonbladet.se/nyheter/article20867575.ab,653,
May-15,http://www.aftonbladet.se/nyheter/article20866726.ab,2030,
May-15,http://www.aftonbladet.se/debatt/article20875363.ab,1446,
May-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article20866002.ab,5567,
May-15,http://www.aftonbladet.se/nyheter/kolumnister/johannafranden/article20874323.ab,1554,
May-15,http://www.aftonbladet.se/nyheter/article20873804.ab,260,
May-15,http://www.aftonbladet.se/ledare/ledarkronika/karinpettersson/article20873545.ab,289,
May-15,http://www.aftonbladet.se/nyheter/article20881869.ab,309,
May-15,http://www.aftonbladet.se/nyheter/article20880781.ab,247,
May-15,http://www.aftonbladet.se/nyheter/article20886789.ab,1147,
May-15,http://www.aftonbladet.se/nyheter/article20885342.ab,3123,
May-15,http://www.aftonbladet.se/nyheter/kolumnister/janguillou/article20884579.ab,3749,
Jun-15,http://www.aftonbladet.se/nyheter/article20892229.ab,673,
Jun-15,http://www.aftonbladet.se/nyheter/article20889004.ab,270,
Jun-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article20887926.ab,8412,
Jun-15,http://www.aftonbladet.se/kultur/article20895756.ab,146,
Jun-15,http://www.aftonbladet.se/nyheter/article20896582.ab,6634,
Jun-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article20904122.ab,1166,
Jun-15,http://www.aftonbladet.se/ledare/ledarkronika/anderslindberg/article20901939.ab,3547,
Jun-15,http://www.aftonbladet.se/nyheter/article20901245.ab,59,
Jun-15,http://www.aftonbladet.se/nyheter/article20900847.ab,900,
Jun-15,http://www.aftonbladet.se/nyheter/kolumnister/lenamellin/article20928582.ab,756,
Jun-15,http://www.aftonbladet.se/kultur/article20917969.ab,37,
