Date,bedTime,Day,secondsAsleep,timeAsleep
"December 28, 2015 ",07:31AM,2,4380,1.22
"December 28, 2015 ",11:51PM,2,32460,9.02
"December 30, 2015 ",12:19AM,4,31920,8.87
"December 31, 2015 ",01:38AM,5,25560,7.10
"January 1, 2016 ",01:37AM,6,27900,7.75
"January 2, 2016 ",02:02AM,7,24420,6.78
"January 3, 2016 ",12:47AM,1,30480,8.47
"January 3, 2016 ",11:22PM,1,26640,7.40
"January 4, 2016 ",11:39PM,2,18780,5.22
"January 5, 2016 ",10:45PM,3,30240,8.40
"January 6, 2016 ",11:24PM,4,25800,7.17
"January 8, 2016 ",12:03AM,6,25200,7.00
"January 9, 2016 ",12:41AM,7,19800,5.50
"January 10, 2016 ",12:46AM,1,25800,7.17
"January 11, 2016 ",12:30AM,2,21720,6.03
"January 11, 2016 ",11:43PM,2,22980,6.38
"January 12, 2016 ",11:27PM,3,25920,7.20
"January 13, 2016 ",11:45PM,4,24540,6.82
"January 15, 2016 ",01:15AM,6,20580,5.72
"January 15, 2016 ",10:26PM,6,10200,2.83
"January 17, 2016 ",01:02AM,1,19260,5.35
"January 18, 2016 ",12:13AM,2,23400,6.50
"January 18, 2016 ",11:56PM,2,24060,6.68
"January 19, 2016 ",08:24PM,3,35880,9.97
"January 20, 2016 ",10:12PM,4,28800,8.00
"January 21, 2016 ",10:54PM,5,28200,7.83
"January 22, 2016 ",10:53PM,6,28800,8.00
"January 23, 2016 ",12:14PM,7,4440,1.23
"January 23, 2016 ",10:15PM,7,26940,7.48
"January 24, 2016 ",01:19PM,1,28140,7.82
"January 25, 2016 ",10:49PM,2,28500,7.92
"January 27, 2016 ",01:04AM,4,19980,5.55
"January 28, 2016 ",12:03AM,5,19740,5.48
"January 28, 2016 ",11:40PM,5,25860,7.18
"January 30, 2016 ",12:46AM,7,14520,4.03
"January 30, 2016 ",08:48AM,7,7080,1.97
"January 30, 2016 ",10:44PM,7,25560,7.10
"February 1, 2016 ",12:35AM,2,24060,6.68
"February 2, 2016 ",01:39AM,3,20820,5.78
"February 2, 2016 ",08:28PM,3,31380,8.72
"February 4, 2016 ",01:17AM,5,21960,6.10
"February 4, 2016 ",11:58PM,5,24360,6.77
"February 6, 2016 ",12:03AM,7,9900,2.75
"February 6, 2016 ",12:42PM,7,10140,2.82
"February 7, 2016 ",02:10AM,1,20220,5.62
"February 8, 2016 ",01:12AM,2,20040,5.57
"February 8, 2016 ",07:18PM,2,9480,2.63
"February 8, 2016 ",10:49PM,2,31020,8.62
"February 10, 2016 ",12:21AM,4,22500,6.25
"February 10, 2016 ",12:08PM,4,41460,11.52
"February 11, 2016 ",11:45PM,5,26160,7.27
"February 12, 2016 ",11:14AM,6,7140,1.98
"February 12, 2016 ",11:29PM,6,27000,7.50
"February 14, 2016 ",09:26PM,1,15480,4.30
"February 15, 2016 ",02:20AM,2,18420,5.12
"February 15, 2016 ",12:51PM,2,7800,2.17
"February 15, 2016 ",09:59PM,2,29340,8.15
"February 17, 2016 ",12:28AM,4,26460,7.35
"February 17, 2016 ",11:45AM,4,5520,1.53
"February 17, 2016 ",11:02PM,4,26040,7.23
"February 20, 2016 ",12:35AM,7,21660,6.02
"February 20, 2016 ",12:07PM,7,7980,2.22
"February 21, 2016 ",12:32AM,1,24300,6.75
"February 21, 2016 ",11:36AM,1,4920,1.37
"February 21, 2016 ",10:27PM,1,26880,7.47
"February 22, 2016 ",11:47PM,2,24900,6.92
"February 23, 2016 ",10:02PM,3,21060,5.85
"February 24, 2016 ",09:56AM,4,4080,1.13
"February 26, 2016 ",05:26PM,6,15480,4.30
"February 27, 2016 ",12:49AM,7,22620,6.28
"February 27, 2016 ",12:44PM,7,3720,1.03
"February 28, 2016 ",12:41AM,1,25560,7.10
"March 4, 2016 ",12:06AM,6,23040,6.40
"March 4, 2016 ",01:14PM,6,7260,2.02
"March 5, 2016 ",02:31AM,7,12420,3.45
"March 6, 2016 ",01:15AM,1,17820,4.95
"March 7, 2016 ",12:01AM,2,15600,4.33
"March 7, 2016 ",10:46PM,2,27060,7.52
"March 10, 2016 ",12:03AM,5,23160,6.43
"March 12, 2016 ",12:10AM,7,23040,6.40
"March 13, 2016 ",12:42AM,1,21960,6.10
"March 13, 2016 ",11:15PM,1,25860,7.18
"March 14, 2016 ",11:10PM,2,24840,6.90
"March 15, 2016 ",11:19PM,3,23520,6.53
"March 17, 2016 ",11:17PM,5,23760,6.60
"March 19, 2016 ",12:00AM,7,20640,5.73
"March 19, 2016 ",10:59PM,7,28800,8.00
"March 22, 2016 ",11:22PM,3,23160,6.43
"March 23, 2016 ",11:33PM,4,24120,6.70
"March 24, 2016 ",11:34PM,5,28560,7.93
"March 26, 2016 ",11:27PM,7,22980,6.38
"March 28, 2016 ",12:16AM,2,23160,6.43
"March 28, 2016 ",09:00PM,2,3660,1.02
"March 29, 2016 ",10:46PM,3,26280,7.30
"March 30, 2016 ",11:03PM,4,25800,7.17
"March 31, 2016 ",10:52PM,5,26880,7.47
"April 2, 2016 ",12:37AM,7,17460,4.85
"April 2, 2016 ",10:53PM,7,28440,7.90
"April 3, 2016 ",09:33PM,1,4140,1.15
"April 3, 2016 ",11:03PM,1,25140,6.98
"April 4, 2016 ",10:34PM,2,23280,6.47
"April 5, 2016 ",11:05PM,3,20700,5.75
"April 6, 2016 ",11:04PM,4,25920,7.20
"April 7, 2016 ",10:02PM,5,7860,2.18
